,_id,fecha_de_negociacion,producto_de_mibgas,precios_de_los_productos_mibgas
2603,2604,2018-12-31,Producto mensual M+1,24.1
2608,2609,2019-01-02,Producto mensual M+1,23.91
2611,2612,2019-01-03,Producto mensual M+1,24.0
2614,2615,2019-01-04,Producto mensual M+1,24.43
2621,2622,2019-01-07,Producto mensual M+1,24.24
2624,2625,2019-01-08,Producto mensual M+1,24.38
2627,2628,2019-01-09,Producto mensual M+1,24.42
2630,2631,2019-01-10,Producto mensual M+1,23.96
2633,2634,2019-01-11,Producto mensual M+1,24.6
2641,2642,2019-01-14,Producto mensual M+1,24.15
2645,2646,2019-01-15,Producto mensual M+1,24.27
2650,2651,2019-01-16,Producto mensual M+1,24.46
2654,2655,2019-01-17,Producto mensual M+1,24.94
2658,2659,2019-01-18,Producto mensual M+1,25.12
2666,2667,2019-01-21,Producto mensual M+1,24.12
2669,2670,2019-01-22,Producto mensual M+1,24.41
2672,2673,2019-01-23,Producto mensual M+1,24.5
2675,2676,2019-01-24,Producto mensual M+1,24.2
2679,2680,2019-01-25,Producto mensual M+1,23.61
2687,2688,2019-01-28,Producto mensual M+1,23.48
2691,2692,2019-01-29,Producto mensual M+1,23.09
2695,2696,2019-01-30,Producto mensual M+1,23.37
2699,2700,2019-01-31,Producto mensual M+1,22.73
2704,2705,2019-02-01,Producto mensual M+1,21.43
2711,2712,2019-02-04,Producto mensual M+1,20.91
2714,2715,2019-02-05,Producto mensual M+1,21.25
2717,2718,2019-02-06,Producto mensual M+1,21.25
2720,2721,2019-02-07,Producto mensual M+1,21.26
2723,2724,2019-02-08,Producto mensual M+1,20.83
2730,2731,2019-02-11,Producto mensual M+1,20.1
2733,2734,2019-02-12,Producto mensual M+1,20.1
2736,2737,2019-02-13,Producto mensual M+1,20.15
2739,2740,2019-02-14,Producto mensual M+1,20.15
2742,2743,2019-02-15,Producto mensual M+1,20.14
2749,2750,2019-02-18,Producto mensual M+1,20.09
2752,2753,2019-02-19,Producto mensual M+1,19.84
2755,2756,2019-02-20,Producto mensual M+1,20.35
2758,2759,2019-02-21,Producto mensual M+1,20.14
