,index,precio_gas,fecha
0,1,24.1,2019-01-01
1,2,22.73,2019-02-01
2,3,19.29,2019-03-01
3,4,15.12,2019-04-01
4,5,15.95,2019-05-01
5,6,13.28,2019-06-01
6,7,13.24,2019-07-01
7,8,11.64,2019-08-01
8,9,12.54,2019-09-01
9,10,14.59,2019-10-01
10,11,13.41,2019-11-01
11,12,15.16,2019-12-01
12,13,11.8,2020-01-01
13,14,10.4,2020-02-01
14,15,9.14,2020-03-01
15,16,6.87,2020-04-01
16,17,6.15,2020-05-01
17,18,5.19,2020-06-01
18,19,7.74,2020-07-01
19,20,7.23,2020-08-01
20,21,12.65,2020-09-01
21,22,12.02,2020-10-01
22,23,14.21,2020-11-01
23,24,16.44,2020-12-01
24,25,21.57,2021-01-01
25,26,20.45,2021-02-01
26,27,15.7,2021-03-01
27,28,18.67,2021-04-01
28,29,23.1,2021-05-01
29,30,25.84,2021-06-01
30,31,35.06,2021-07-01
31,32,40.78,2021-08-01
32,33,49.83,2021-09-01
33,34,90.0,2021-10-01
34,35,71.14,2021-11-01
35,36,100.73,2021-12-01
36,37,67.07,2022-01-01
37,38,85.91,2022-02-01
38,39,102.87,2022-03-01
39,40,113.77,2022-04-01
40,41,77.03,2022-05-01
41,42,80.48,2022-06-01
42,43,125.16,2022-07-01
43,44,128.98,2022-08-01
44,45,181.35,2022-09-01
45,46,80.64,2022-10-01
46,47,71.08,2022-11-01
47,48,122.37,2022-12-01
