,index,precio,fecha
0,1,67.91,2019-01-01
1,2,59.79,2019-02-01
2,3,54.08,2019-03-01
3,4,56.540000000000006,2019-04-01
4,5,53.71,2019-05-01
5,6,52.11000000000001,2019-06-01
6,7,56.65,2019-07-01
7,8,49.15,2019-08-01
8,9,46.76000000000001,2019-09-01
9,10,52.17,2019-10-01
10,11,48.23,2019-11-01
11,12,41.120000000000005,2019-12-01
12,13,46.87,2020-01-01
13,14,41.339999999999996,2020-02-01
14,15,33.13,2020-03-01
15,16,25.18,2020-04-01
16,17,27.279999999999994,2020-05-01
17,18,35.98,2020-06-01
18,19,39.97,2020-07-01
19,20,41.00000000000001,2020-08-01
20,21,47.41,2020-09-01
21,22,42.63,2020-10-01
22,23,48.08,2020-11-01
23,24,48.91,2020-12-01
24,25,70.10000000000001,2021-01-01
25,26,36.69,2021-02-01
26,27,51.92,2021-03-01
27,28,71.42,2021-04-01
28,29,73.89,2021-05-01
29,30,87.11,2021-06-01
30,31,96.28999999999999,2021-07-01
31,32,111.28999999999999,2021-08-01
32,33,160.48,2021-09-01
33,34,209.08999999999997,2021-10-01
34,35,203.70000000000002,2021-11-01
35,36,251.53000000000003,2021-12-01
36,37,209.76000000000002,2022-01-01
37,38,205.53999999999996,2022-02-01
38,39,294.19,2022-03-01
39,40,202.73000000000002,2022-04-01
40,41,195.45999999999998,2022-05-01
41,42,175.34,2022-06-01
42,43,149.38000000000002,2022-07-01
43,44,161.76,2022-08-01
44,45,151.33999999999997,2022-09-01
45,46,138.66000000000003,2022-10-01
46,47,124.53,2022-11-01
47,48,113.80000000000001,2022-12-01
