,"Ciudades / Total
mensual","Consumo de
10m3 con
contador
individual de
13mm","Incremento
% con
respecto a
2018","Consumo
de 20m3
con
contador
individual
de 13mm","Incremento
% con
respecto a
2018","Consumo de
10m3 con
contador
individual de
15mm","Incremento
% con
respecto a
2018","Consumo
de 20m3
con
contador
individual
de 15mm","Incremento
% con
respecto a
2018","Precio medio
2019","Precio medio
2018","Incremento %
con respecto a
2018"
0,A Coruña (Emalcsa),"14,79 €","0,0%","26,18 €","0,0%","14,79 €","0,0%","26,18 €","0,0%","20,48 €","20,48 €","0,0%"
1,"Albacete (Aguas de
Albacete)","13,07 €","0,0%","27,26 €","0,0%","13,07 €","0,0%","27,26 €","0,0%","20,16 €","20,16 €","0,0%"
2,"Alicante (Aguas
Municipalizadas de
Alicante)","22,28 €","0,5%","50,49 €","0,8%","22,28 €","0,5%","50,49 €","0,8%","36,38 €","36,11 €","0,7%"
3,Almería (Aqualia),"19,45 €","0,0%","38,25 €","0,0%","19,45 €","0,0%","38,25 €","0,0%","28,85 €","28,85 €","0,0%"
4,Ávila (Aqualia),"17,64 €","0,0%","24,47 €","0,0%","17,64 €","0,0%","24,47 €","0,0%","21,05 €","21,05 €","0,0%"
5,Badajoz (Aqualia),"14,32 €","0,0%","30,27 €","0,0%","14,32 €","0,0%","30,27 €","0,0%","22,30 €","22,30 €","0,0%"
6,"Barcelona (Aguas
de Barcelona)","22,90 €","0,0%","70,87 €","0,0%","22,90 €","0,0%","70,87 €","0,0%","46,89 €","46,89 €","0,0%"
7,"Bilbao (Consorcio
de Aguas de Bilbao)","16,36 €","2,3%","30,24 €","2,2%","16,36 €","2,3%","30,24 €","2,2%","23,30 €","22,78 €","2,3%"
8,"Burgos (Aguas de
Burgos)","10,51 €","0,0%","20,80 €","0,0%","10,51 €","0,0%","20,80 €","0,0%","15,66 €","15,66 €","0,0%"
9,"Cádiz (Aguas de
Cádiz)","21,89 €","-8,3%","47,14 €","-7,8%","21,89 €","-8,3%","47,14 €","-7,8%","34,51 €","37,49 €","-7,9%"
10,"Cáceres (Canal
Isabel II)","16,60 €","0,0%","28,83 €","0,0%","16,60 €","0,0%","28,83 €","0,0%","22,71 €","22,71 €","0,0%"
11,Castellón (Facsa),"13,80 €","0,0%","22,73 €","0,0%","15,81 €","0,0%","24,74 €","0,0%","19,27 €","19,27 €","0,0%"
12,"Ciudad Real
(Aquona)","13,77 €","-1,0%","32,93 €","-0,4%","13,77 €","-1,0%","32,93 €","-0,4%","23,35 €","23,49 €","-0,6%"
13,Córdoba (Emacsa),"19,37 €","0,0%","37,58 €","0,0%","19,37 €","0,0%","37,58 €","0,0%","28,48 €","28,48 €","0,0%"
14,"Cuenca (Aguas de
Cuenca)","16,25 €","0,0%","28,65 €","0,0%","16,25 €","0,0%","28,65 €","0,0%","22,45 €","22,45 €","0,0%"
15,Gijón (Ema),"16,90 €","0,0%","29,05 €","0,0%","16,90 €","0,0%","29,05 €","0,0%","22,98 €","22,98 €","0,0%"
16,"Girona (Aigües de
Girona, Salt I Sarriá
de Ter)","12,26 €","0,0%","46,89 €","0,0%","12,94 €","0,0%","47,57 €","0,0%","29,92 €","29,92 €","0,0%"
17,"Granada
(Emasagra)","17,64 €","0,0%","44,93 €","0,0%","17,87 €","0,0%","45,16 €","0,0%","31,40 €","31,40 €","0,0%"
18,"Guadalajara
(Guadalagua)","9,64 €","0,0%","16,81 €","0,0%","13,09 €","0,0%","20,26 €","0,0%","14,95 €","14,95 €","0,0%"
19,Huelva (Emahsa),"22,49 €","0,2%","50,83 €","0,2%","24,18 €","-0,5%","52,52 €","-0,2%","37,50 €","37,53 €","-0,1%"
20,"Huesca
(Ayuntamiento de
Huesca)","16,43 €","0,0%","27,50 €","0,0%","16,73 €","0,0%","27,81 €","0,0%","22,12 €","22,12 €","0,0%"
21,Jaén (Aqualia),"19,23 €","1,2%","41,62 €","1,1%","19,23 €","1,2%","41,62 €","1,1%","30,43 €","30,10 €","1,1%"
22,"Las Palmas G.C.
(Emalsa)","19,18 €","0,0%","49,79 €","0,0%","19,18 €","0,0%","49,79 €","0,0%","34,48 €","34,48 €","0,0%"
23,"León (Aguas de
León)","2,29 €","-44,9%","8,69 €","-16,7%","2,29 €","-44,9%","8,69 €","-16,7%","5,49 €","7,30 €","-24,7%"
24,Lleida (Aqualia),"20,02 €","0,0%","54,79 €","0,0%","20,02 €","0,0%","54,79 €","0,0%","37,40 €","37,40 €","0,0%"
25,"Logroño
(Ayuntamiento de
Logroño)","13,62 €","0,0%","25,69 €","0,0%","13,62 €","0,0%","25,69 €","0,0%","19,65 €","19,65 €","0,0%"
26,"Lugo (Ayuntamiento
de Lugo)","10,02 €","0,0%","16,71 €","0,0%","10,02 €","0,0%","16,71 €","0,0%","13,36 €","13,36 €","0,0%"
27,"Madrid (Canal de
Isabel II)","15,74 €","0,0%","27,59 €","0,0%","16,46 €","0,0%","28,31 €","0,0%","22,03 €","22,03 €","0,0%"
28,Málaga (Emasa),"14,52 €","0,0%","43,90 €","0,0%","14,52 €","0,0%","43,90 €","0,0%","29,21 €","29,21 €","0,0%"
29,"Melilla (Consejería
Medio Ambiente)","10,00 €","0,0%","20,00 €","0,0%","10,00 €","0,0%","20,00 €","0,0%","15,00 €","15,00 €","0,0%"
