,Ciudades / Total mensual,"Consumo
de 9m3 con
contador
individual
de 13mm","Incremento
% con
respecto a
2019","Consumo
de 13m3
con
contador
individual
de 13mm","Increm
ento %
con
respect
oa
2019","Consumo
de 9m3 con
contador
individual
de 15mm","Incremen
to % con
respecto
a 2019","Consumo
de 13m3
con
contador
individual
de 15mm","Increment
o% con
respecto
a 2019"
0,A Coruña (Emalcsa),"13,73 €","0,0%","18,05 €","0,0%","13,73 €","0,0%","18,05 €","0,0%"
1,Albacete (Aguas de Albacete),"14,21 €","14,4%","21,04 €","32,3%","14,09 €","13,4%","20,92 €","31,5%"
2,"Alicante (Aguas Municipalizadas de
Alicante)","21,05 €","0,0%","30,74 €","0,0%","21,05 €","0,0%","30,74 €","0,0%"
3,Almería (Aqualia),"18,37 €","0,8%","24,51 €","0,8%","18,37 €","0,8%","24,51 €","0,8%"
4,Ávila (Aqualia),"16,96 €","0,0%","19,69 €","0,0%","16,96 €","0,0%","19,69 €","0,0%"
5,Badajoz (Aqualia),"11,02 €","0,0%","16,69 €","0,0%","11,02 €","0,0%","16,69 €","0,0%"
6,Barcelona (Aguas de Barcelona),"20,39 €","3,1%","33,22 €","2,8%","20,39 €","3,1%","33,22 €","2,8%"
7,Bilbao (Consorcio de Aguas de Bilbao),"15,91 €","6,0%","21,79 €","6,0%","15,91 €","6,0%","21,79 €","6,0%"
8,Burgos (Aguas de Burgos),"9,61 €","0,0%","13,21 €","0,0%","9,61 €","0,0%","13,21 €","0,0%"
9,Cáceres (Canal Isabel II),"15,48 €","0,0%","20,52 €","0,0%","15,48 €","0,0%","20,52 €","0,0%"
10,Cádiz (Aguas de Cádiz),"20,34 €","0,0%","28,61 €","0,0%","20,34 €","0,0%","28,61 €","0,0%"
11,Castellón (Facsa),"13,21 €","0,1%","16,49 €","0,1%","15,23 €","0,1%","18,51 €","0,1%"
12,Ceuta (Acemsa),"28,04 €","0,0%","34,74 €","0,0%","28,04 €","0,0%","34,74 €","0,0%"
13,Ciudad Real (Aquona),"12,76 €","1,2%","17,49 €","1,4%","12,76 €","1,2%","17,49 €","1,4%"
14,Córdoba (Emacsa),"17,79 €","0,0%","24,42 €","0,0%","17,79 €","0,0%","24,42 €","0,0%"
15,Cuenca (Aguas de Cuenca),"15,07 €","0,0%","19,79 €","0,0%","15,07 €","0,0%","19,79 €","0,0%"
16,Gijón (Ema),"16,40 €","2,9%","20,38 €","2,9%","16,40 €","2,9%","20,38 €","2,9%"
17,"Girona (Aigües de Girona, Salt i Sarriá
de Ter)","10,35 €","0,1%","18,50 €","0,1%","11,03 €","0,1%","19,18 €","0,1%"
18,Granada (Emasagra),"16,20 €","0,0%","25,13 €","0,0%","16,44 €","0,0%","25,37 €","0,0%"
19,Guadalajara (Guadalgua),"8,92 €","0,0%","11,79 €","0,0%","12,37 €","0,0%","15,24 €","0,0%"
20,Huelva (Emahsa),"20,68 €","0,0%","30,16 €","0,0%","22,61 €","0,0%","32,08 €","0,0%"
21,Huesca (Ayuntamiento),"15,38 €","0,0%","20,70 €","0,0%","15,69 €","0,0%","21,00 €","0,0%"
22,Jaén (Aqualia),"18,11 €","1,2%","24,77 €","1,2%","18,11 €","1,2%","24,77 €","1,2%"
23,Jerez de la Frontera (Aquajerez),"18,45 €","0,0%","23,46 €","0,0%","18,45 €","0,0%","23,46 €","0,0%"
24,Las Palmas Gran Canaria (Emalsa),"16,83 €","0,0%","26,23 €","0,0%","16,83 €","0,0%","26,23 €","0,0%"
25,León (Aguas de León),"4,83 €","1,8%","7,29 €","1,8%","4,83 €","1,8%","7,29 €","1,8%"
26,Lleida (Aqualia),"18,01 €","0,2%","26,24 €","0,2%","18,01 €","0,2%","26,24 €","0,2%"
27,Logroño (Ayuntamiento),"14,10 €","13,6%","19,66 €","14,1%","14,10 €","13,6%","19,66 €","14,1%"
28,Lugo (Ayuntamiento),"9,48 €","0,0%","11,91 €","0,0%","9,48 €","0,0%","11,91 €","0,0%"
29,Madrid (Canal de Isabel II),"14,87 €","0,0%","18,49 €","0,0%","15,59 €","28,3%","19,21 €","0,0%"
30,Málaga (Emasa),"12,51 €","0,0%","20,83 €","0,0%","12,51 €","0,0%","20,83 €","0,0%"
31,Melilla (Ayuntamiento),"9,00 €","0,0%","13,00 €","0,0%","9,00 €","0,0%","13,00 €","0,0%"
32,Mérida (Aqualia),"15,94 €","9,1%","19,90 €","9,1%","15,94 €","9,1%","19,90 €","9,1%"
33,Murcia (Emuasa),"26,27 €","-1,5%","34,40 €","-0,8%","26,27 €","-1,5%","34,40 €","-0,8%"
34,Ourense (Viaqua),"8,23 €","0,0%","12,12 €","0,0%","8,23 €","0,0%","12,12 €","0,0%"
35,Oviedo (Aqualia),"7,72 €","0,0%","12,04 €","0,0%","7,72 €","0,0%","12,04 €","0,0%"
36,Palencia (Aquona),"6,97 €","8,1%","10,06 €","7,9%","6,97 €","8,1%","10,06 €","7,9%"
37,Palma de Mallorca (Emaya),"20,95 €","0,0%","29,77 €","0,0%","20,95 €","0,0%","29,77 €","0,0%"
38,"Pamplona (Mancomunidad de
Pamplona)","13,20 €","0,0%","16,78 €","0,0%","13,20 €","0,0%","16,78 €","0,0%"
39,Pontevedra (Viaqua),"16,28 €","0,0%","22,58 €","0,0%","16,28 €","0,0%","22,58 €","0,0%"
40,Salamanca (Aqualia),"11,61 €","0,3%","16,85 €","0,3%","11,61 €","0,3%","16,85 €","0,3%"
41,San Sebastián (Ayuntamiento),"9,12 €","0,0%","12,40 €","0,0%","9,12 €","0,0%","12,40 €","0,0%"
42,Santander (Aqualia),"15,24 €","0,0%","21,45 €","0,0%","15,24 €","0,0%","21,45 €","0,0%"
43,Santiago de Compostela (Viaqua),"16,12 €","0,0%","22,36 €","0,0%","16,12 €","0,0%","22,36 €","0,0%"
44,Segovia (Ayuntamiento),"11,60 €","0,0%","17,27 €","0,0%","11,60 €","0,0%","17,27 €","0,0%"
45,Sevilla (Emasesa),"18,07 €","5,8%","28,22 €","5,9%","18,07 €","5,8%","28,22 €","5,9%"
46,Soria (Aguas de Soria),"7,54 €","0,0%","11,56 €","0,0%","7,54 €","0,0%","11,56 €","0,0%"
47,Tarragona (Ematsa),"16,19 €","2,2%","23,92 €","1,9%","16,19 €","2,2%","23,92 €","1,9%"
48,Teruel (Aguas de Teruel),"17,60 €","1,1%","23,39 €","1,3%","17,60 €","1,1%","23,39 €","1,3%"
49,Toledo (Tagus),"12,40 €","0,2%","17,73 €","0,2%","12,40 €","0,2%","17,73 €","0,2%"
50,Valencia (Emivasa),"21,15 €","4,4%","26,88 €","5,4%","23,01 €","4,1%","28,74 €","5,1%"
51,Valladolid (Aquavall),"9,62 €","0,0%","14,56 €","0,0%","9,62 €","0,0%","14,56 €","0,0%"
52,Vigo (Aqualia),"13,44 €","0,0%","17,89 €","0,0%","13,44 €","0,0%","17,89 €","0,0%"
53,Vitoria (Amvisa),"11,23 €","0,0%","14,52 €","0,0%","11,23 €","0,0%","14,52 €","0,0%"
54,Zamora (Aquona),"12,71 €","0,0%","17,77 €","0,0%","12,71 €","0,0%","17,77 €","0,0%"
55,"Zaragoza (Oficina Municipal del Agua /
Ecociudad Zaragoza s.a.)","20,79 €","0,0%","27,79 €","0,0%","20,79 €","0,0%","27,79 €","0,0%"
56,Media,"14,83 €","1,2%","20,62 €","1,5%","15,13 €","1,6%","20,92 €","1,4%"
