,"Ciudades / Total
mensual","Consumo
de 9m3 con
contador
individual
de 13mm","Incremento
% con
respecto a
2020","Consumo
de 13m3
con
contador
individual
de 13mm","Incremento
% con
respecto a
2020","Consumo
de 9m3
con
contador
individual
de 15mm","Incremento
% con
respecto a
2020","Consumo
de 13m3
con
contador
individual
de 15mm","Incremento
% con
respecto a
2020"
0,"A Coruña
(Emalcsa)","13,73 €","0,0%","18,05 €","0,0%","13,73 €","0,0%","18,05 €","0,0%"
1,"Albacete (Aguas
de Albacete)","14,21 €","0,0%","21,04 €","0,0%","14,09 €","0,0%","20,92 €","0,0%"
2,"Alicante (Aguas
Municipalizadas de
Alicante)","20,91 €","-0,7%","30,53 €","-0,7%","20,91 €","-0,7%","30,53 €","-0,7%"
3,Almería (Aqualia),"18,37 €","0,0%","24,51 €","0,0%","18,37 €","0,0%","24,51 €","0,0%"
4,Ávila (Aqualia),"16,96 €","0,0%","19,69 €","0,0%","16,96 €","0,0%","19,69 €","0,0%"
5,Badajoz (Aqualia),"11,02 €","0,0%","16,69 €","0,0%","11,02 €","0,0%","16,69 €","0,0%"
6,"Barcelona (Aguas
de Barcelona)","20,39 €","0,0%","33,22 €","0,0%","20,39 €","0,0%","33,22 €","0,0%"
7,"Bilbao (Consorcio
de Aguas de
Bilbao)","15,91 €","0,0%","21,79 €","0,0%","15,91 €","0,0%","21,79 €","0,0%"
8,"Burgos (Aguas de
Burgos)","9,61 €","0,0%","13,21 €","0,0%","9,61 €","0,0%","13,21 €","0,0%"
9,"Cáceres (Canal
Isabel II)","15,48 €","0,0%","20,52 €","0,0%","15,48 €","0,0%","20,52 €","0,0%"
10,"Cádiz (Aguas de
Cádiz)","22,12 €","0,0%","31,19 €","0,0%","22,12 €","0,0%","31,19 €","0,0%"
11,Castellón (Facsa),"13,21 €","0,0%","16,49 €","0,0%","15,23 €","0,0%","18,51 €","0,0%"
12,Ceuta (Acemsa),"28,04 €","0,0%","34,74 €","0,0%","28,04 €","0,0%","34,74 €","0,0%"
13,"Ciudad Real
(Aquona)","12,77 €","0,1%","17,50 €","0,0%","12,77 €","0,1%","17,50 €","0,0%"
14,Córdoba (Emacsa),"17,79 €","0,0%","24,42 €","0,0%","17,79 €","0,0%","24,42 €","0,0%"
15,"Cuenca (Aguas de
Cuenca)","15,07 €","0,0%","19,79 €","0,0%","15,07 €","0,0%","19,79 €","0,0%"
16,Gijón (Ema),"16,40 €","0,0%","20,38 €","0,0%","16,40 €","0,0%","20,38 €","0,0%"
17,"Girona (Aigües de
Girona, Salt i Sarriá
de Ter)","10,35 €","0,0%","18,50 €","0,0%","11,03 €","0,0%","19,18 €","0,0%"
18,"Granada
(Emasagra)","16,20 €","0,0%","25,13 €","0,0%","16,44 €","0,0%","25,37 €","0,0%"
19,"Guadalajara
(Guadalgua)","8,92 €","0,0%","11,79 €","0,0%","12,37 €","0,0%","15,24 €","0,0%"
20,Huelva (Emahsa),"20,68 €","0,0%","30,16 €","0,0%","22,61 €","0,0%","32,08 €","0,0%"
21,"Huesca
(Ayuntamiento)","15,38 €","0,0%","20,70 €","0,0%","15,69 €","0,0%","21,00 €","0,0%"
22,Jaén (Aqualia),"18,11 €","0,0%","24,77 €","0,0%","18,11 €","0,0%","24,77 €","0,0%"
23,"Jerez Fronta.
(Aqualia)","18,45 €","0,0%","23,46 €","0,0%","18,45 €","0,0%","23,46 €","0,0%"
24,"Las Palmas G.C.
(Emalsa)","16,83 €","0,0%","26,23 €","0,0%","16,83 €","0,0%","26,23 €","0,0%"
25,"León (Aguas de
León)","4,84 €","0,2%","7,30 €","0,1%","4,84 €","0,2%","7,30 €","0,1%"
26,Lleida (Aqualia),"18,01 €","0,0%","26,24 €","0,0%","18,01 €","0,0%","26,24 €","0,0%"
27,"Lugo
(Ayuntamiento)","9,48 €","0,0%","11,91 €","0,0%","9,48 €","0,0%","11,91 €","0,0%"
28,"Madrid (Canal de
Isabel II)","14,87 €","0,0%","18,49 €","0,0%","15,59 €","1,8%","19,21 €","0,0%"
29,Málaga (Emasa),"12,51 €","0,0%","20,83 €","0,0%","12,51 €","0,0%","20,83 €","0,0%"
30,"Melilla
(Ayuntamiento)","9,00 €","0,0%","13,00 €","0,0%","9,00 €","0,0%","13,00 €","0,0%"
31,Mérida (Aqualia),"15,94 €","0,0%","19,90 €","0,0%","15,94 €","0,0%","19,90 €","0,0%"
32,Murcia (Emuasa),"26,27 €","0,0%","34,40 €","0,0%","26,27 €","0,0%","34,40 €","0,0%"
33,Ourense (Viaqua),"8,23 €","0,0%","12,12 €","0,0%","8,23 €","0,0%","12,12 €","0,0%"
34,Oviedo (Aqualia),"7,72 €","0,0%","12,04 €","0,0%","7,72 €","0,0%","12,04 €","0,0%"
35,Palencia (Aquona),"6,97 €","0,0%","10,06 €","0,0%","6,97 €","0,0%","10,06 €","0,0%"
36,"Palma de Mallorca
(Emaya)","20,95 €","0,0%","29,77 €","0,0%","20,95 €","0,0%","29,77 €","0,0%"
37,"Pamplona
(Mancomunidad de
Pamplona)","13,20 €","0,0%","16,78 €","0,0%","13,20 €","0,0%","16,78 €","0,0%"
38,"Pontevedra
(Viaqua)","16,28 €","0,0%","22,58 €","0,0%","16,28 €","0,0%","22,58 €","0,0%"
39,"Salamanca
(Aqualia)","11,61 €","0,0%","16,85 €","0,0%","11,61 €","0,0%","16,85 €","0,0%"
