,index,fecha
0,1,2019-01-01
1,2,2019-02-01
2,3,2019-03-01
3,4,2019-04-01
4,5,2019-05-01
5,6,2019-06-01
6,7,2019-07-01
7,8,2019-08-01
8,9,2019-09-01
9,10,2019-10-01
10,11,2019-11-01
11,12,2019-12-01
12,13,2020-01-01
13,14,2020-02-01
14,15,2020-03-01
15,16,2020-04-01
16,17,2020-05-01
17,18,2020-06-01
18,19,2020-07-01
19,20,2020-08-01
20,21,2020-09-01
21,22,2020-10-01
22,23,2020-11-01
23,24,2020-12-01
24,25,2021-01-01
25,26,2021-02-01
26,27,2021-03-01
27,28,2021-04-01
28,29,2021-05-01
29,30,2021-06-01
30,31,2021-07-01
31,32,2021-08-01
32,33,2021-09-01
33,34,2021-10-01
34,35,2021-11-01
35,36,2021-12-01
36,37,2022-01-01
37,38,2022-02-01
38,39,2022-03-01
39,40,2022-04-01
40,41,2022-05-01
41,42,2022-06-01
42,43,2022-07-01
43,44,2022-08-01
44,45,2022-09-01
45,46,2022-10-01
46,47,2022-11-01
47,48,2022-12-01
