,index,categoria,combustible,precio,unidad,fecha
0,1,1,1,67.91,3,1
1,2,3,5,1.259785,1,1
2,3,3,2,1.228664,1,1
3,4,4,1,1.57,2,1
4,5,2,1,24.1,3,1
5,6,3,3,1.365593,1,1
6,7,3,4,1.188435,1,1
7,8,4,1,1.57,2,2
8,9,2,1,22.73,3,2
9,10,3,4,1.239939,1,2
10,11,3,5,1.313618,1,2
11,12,3,3,1.410579,1,2
12,13,3,2,1.271043,1,2
13,14,1,1,59.79,3,2
14,15,3,3,1.445482,1,3
15,16,3,5,1.341384,1,3
16,17,2,1,19.29,3,3
17,18,3,4,1.266578,1,3
18,19,3,2,1.305643,1,3
19,20,4,1,1.57,2,3
20,21,1,1,54.08,3,3
21,22,3,2,1.369528,1,4
22,23,3,4,1.283211,1,4
23,24,3,3,1.506498,1,4
24,25,2,1,15.12,3,4
25,26,4,1,1.57,2,4
26,27,3,5,1.356713,1,4
27,28,1,1,56.540000000000006,3,4
28,29,3,2,1.387684,1,5
29,30,2,1,15.95,3,5
30,31,1,1,53.71,3,5
31,32,3,3,1.524203,1,5
32,33,3,5,1.371323,1,5
33,34,4,1,1.57,2,5
34,35,3,4,1.296485,1,5
35,36,3,4,1.24509,1,6
36,37,2,1,13.28,3,6
37,38,1,1,52.11000000000001,3,6
38,39,3,5,1.320323,1,6
39,40,4,1,1.57,2,6
40,41,3,2,1.340391,1,6
41,42,3,3,1.481358,1,6
42,43,3,3,1.489219,1,7
43,44,3,2,1.348643,1,7
44,45,3,5,1.3208,1,7
45,46,2,1,13.24,3,7
46,47,3,4,1.245999,1,7
47,48,1,1,56.65,3,7
48,49,4,1,1.57,2,7
49,50,2,1,11.64,3,8
50,51,3,2,1.336114,1,8
51,52,4,1,1.57,2,8
52,53,3,3,1.47586,1,8
53,54,3,4,1.231245,1,8
54,55,3,5,1.305021,1,8
55,56,1,1,49.15,3,8
56,57,3,3,1.476846,1,9
57,58,3,2,1.334711,1,9
58,59,1,1,46.76000000000001,3,9
59,60,2,1,12.54,3,9
60,61,4,1,1.57,2,9
61,62,3,4,1.246124,1,9
62,63,3,5,1.323726,1,9
63,64,3,4,1.246355,1,10
64,65,1,1,52.17,3,10
65,66,4,1,1.57,2,10
66,67,2,1,14.59,3,10
67,68,3,3,1.475447,1,10
68,69,3,5,1.323839,1,10
69,70,3,2,1.332736,1,10
70,71,3,5,1.3277,1,11
71,72,2,1,13.41,3,11
72,73,3,3,1.472357,1,11
73,74,4,1,1.57,2,11
74,75,3,2,1.329162,1,11
75,76,1,1,48.23,3,11
76,77,3,4,1.249737,1,11
77,78,3,4,1.265926,1,12
78,79,3,3,1.485097,1,12
79,80,1,1,41.120000000000005,3,12
80,81,2,1,15.16,3,12
81,82,3,5,1.343926,1,12
82,83,4,1,1.57,2,12
83,84,3,2,1.341772,1,12
84,85,3,3,1.496671,1,13
85,86,3,2,1.353995,1,13
86,87,3,4,1.282829,1,13
87,88,3,5,1.359538,1,13
88,89,4,1,1.65,2,13
89,90,1,1,46.87,3,13
90,91,2,1,11.8,3,13
91,92,2,1,10.4,3,14
92,93,4,1,1.65,2,14
93,94,3,4,1.243801,1,14
94,95,1,1,41.34,3,14
95,96,3,2,1.333209,1,14
96,97,3,3,1.478587,1,14
97,98,3,5,1.322284,1,14
98,99,2,1,9.14,3,15
99,100,1,1,33.13,3,15
100,101,3,2,1.244821,1,15
101,102,3,5,1.230824,1,15
102,103,4,1,1.65,2,15
103,104,3,3,1.392623,1,15
104,105,3,4,1.154507,1,15
105,106,3,5,1.133666,1,16
106,107,3,4,1.058733,1,16
107,108,2,1,6.87,3,16
108,109,4,1,1.65,2,16
109,110,1,1,25.18,3,16
110,111,3,2,1.136134,1,16
111,112,3,3,1.285532,1,16
112,113,1,1,27.279999999999998,3,17
113,114,3,2,1.119766,1,17
114,115,4,1,1.65,2,17
115,116,3,3,1.274593,1,17
116,117,2,1,6.15,3,17
117,118,3,5,1.114717,1,17
118,119,3,4,1.033324,1,17
119,120,4,1,1.65,2,18
120,121,3,2,1.166519,1,18
121,122,3,3,1.322487,1,18
122,123,1,1,35.98,3,18
123,124,3,4,1.069126,1,18
124,125,2,1,5.19,3,18
125,126,3,5,1.153461,1,18
126,127,3,4,1.101826,1,19
127,128,2,1,7.74,3,19
128,129,4,1,1.65,2,19
129,130,3,2,1.201404,1,19
130,131,3,3,1.356241,1,19
131,132,3,5,1.186276,1,19
132,133,1,1,39.97,3,19
133,134,3,4,1.102708,1,20
134,135,3,2,1.204331,1,20
135,136,3,5,1.185418,1,20
136,137,1,1,41.00000000000001,3,20
137,138,3,3,1.356622,1,20
138,139,4,1,1.65,2,20
139,140,2,1,7.23,3,20
140,141,3,4,1.081279,1,21
141,142,3,3,1.356027,1,21
142,143,3,5,1.162845,1,21
143,144,3,2,1.203226,1,21
144,145,2,1,12.65,3,21
145,146,4,1,1.65,2,21
146,147,1,1,47.41,3,21
147,148,3,3,1.349658,1,22
148,149,3,4,1.069652,1,22
149,150,3,2,1.197043,1,22
150,151,1,1,42.63,3,22
151,152,4,1,1.65,2,22
152,153,2,1,12.02,3,22
153,154,3,5,1.152395,1,22
154,155,4,1,1.65,2,23
155,156,3,2,1.194192,1,23
156,157,3,4,1.071672,1,23
157,158,3,5,1.155774,1,23
158,159,2,1,14.21,3,23
159,160,3,3,1.348467,1,23
160,161,1,1,48.08,3,23
161,162,4,1,1.65,2,24
162,163,3,5,1.19445,1,24
163,164,3,4,1.109354,1,24
164,165,3,3,1.38071,1,24
165,166,2,1,16.44,3,24
166,167,1,1,48.91,3,24
167,168,3,2,1.22371,1,24
168,169,3,4,1.142884,1,25
169,170,3,3,1.41534,1,25
170,171,3,5,1.227722,1,25
171,172,3,2,1.257955,1,25
172,173,1,1,70.10000000000001,3,25
173,174,4,1,1.65,2,25
174,175,2,1,21.57,3,25
175,176,3,3,1.461686,1,26
176,177,3,2,1.303584,1,26
177,178,3,4,1.188011,1,26
178,179,3,5,1.274471,1,26
179,180,2,1,20.45,3,26
180,181,4,1,1.65,2,26
181,182,1,1,36.69,3,26
182,183,3,4,1.232597,1,27
183,184,3,3,1.514466,1,27
184,185,3,5,1.319244,1,27
185,186,3,2,1.356433,1,27
186,187,2,1,15.7,3,27
187,188,4,1,1.65,2,27
188,189,1,1,51.92,3,27
189,190,3,3,1.522062,1,28
190,191,3,4,1.228841,1,28
191,192,3,5,1.314009,1,28
192,193,1,1,71.42,3,28
193,194,4,1,1.65,2,28
194,195,2,1,18.67,3,28
195,196,3,2,1.364857,1,28
196,197,3,2,1.390647,1,29
197,198,2,1,23.1,3,29
198,199,1,1,73.89,3,29
199,200,3,3,1.548937,1,29
200,201,3,4,1.251197,1,29
201,202,3,5,1.338842,1,29
202,203,4,1,1.65,2,29
203,204,4,1,1.65,2,30
204,205,3,3,1.574003,1,30
205,206,1,1,87.11,3,30
206,207,3,4,1.28147,1,30
207,208,2,1,25.84,3,30
208,209,3,2,1.415869,1,30
209,210,3,5,1.370137,1,30
210,211,3,5,1.395493,1,31
211,212,4,1,1.65,2,31
212,213,1,1,96.29,3,31
213,214,3,4,1.306815,1,31
214,215,3,2,1.447043,1,31
215,216,3,3,1.60472,1,31
216,217,2,1,35.06,3,31
217,218,4,1,1.65,2,32
218,219,3,3,1.613537,1,32
219,220,1,1,111.29,3,32
220,221,3,5,1.394391,1,32
221,222,3,2,1.458561,1,32
222,223,3,4,1.308542,1,32
223,224,2,1,40.78,3,32
224,225,3,2,1.47437,1,33
225,226,4,1,1.65,2,33
226,227,2,1,49.83,3,33
227,228,3,5,1.410935,1,33
228,229,3,3,1.630904,1,33
229,230,3,4,1.324535,1,33
230,231,1,1,160.48,3,33
231,232,3,5,1.485296,1,34
232,233,3,3,1.678351,1,34
233,234,2,1,90.0,3,34
234,235,3,4,1.396523,1,34
235,236,3,2,1.521385,1,34
236,237,4,1,1.65,2,34
237,238,1,1,209.09,3,34
238,239,4,1,1.65,2,35
239,240,2,1,71.14,3,35
240,241,3,3,1.701301,1,35
241,242,3,5,1.506942,1,35
242,243,3,4,1.420908,1,35
243,244,3,2,1.545334,1,35
244,245,1,1,203.7,3,35
245,246,2,1,100.73,3,36
246,247,4,1,1.65,2,36
247,248,3,3,1.667701,1,36
248,249,3,2,1.511798,1,36
249,250,3,5,1.468153,1,36
250,251,3,4,1.383023,1,36
251,252,1,1,251.53000000000003,3,36
252,253,1,1,209.76,3,37
