,fecha,consumo (€/m3)
0,2019-01-01,1.57
1,2019-02-01,1.57
2,2019-03-01,1.57
3,2019-04-01,1.57
4,2019-05-01,1.57
5,2019-06-01,1.57
6,2019-07-01,1.57
7,2019-08-01,1.57
8,2019-09-01,1.57
9,2019-10-01,1.57
10,2019-11-01,1.57
11,2019-12-01,1.57
12,2020-01-01,1.65
13,2020-02-01,1.65
14,2020-03-01,1.65
15,2020-04-01,1.65
16,2020-05-01,1.65
17,2020-06-01,1.65
18,2020-07-01,1.65
19,2020-08-01,1.65
20,2020-09-01,1.65
21,2020-10-01,1.65
22,2020-11-01,1.65
23,2020-12-01,1.65
24,2021-01-01,1.65
25,2021-02-01,1.65
26,2021-03-01,1.65
27,2021-04-01,1.65
28,2021-05-01,1.65
29,2021-06-01,1.65
30,2021-07-01,1.65
31,2021-08-01,1.65
32,2021-09-01,1.65
33,2021-10-01,1.65
34,2021-11-01,1.65
35,2021-12-01,1.65
36,2022-01-01,1.8
37,2022-02-01,1.8
38,2022-03-01,1.8
39,2022-04-01,1.8
40,2022-05-01,1.8
41,2022-06-01,1.8
42,2022-07-01,1.8
43,2022-08-01,1.8
44,2022-09-01,1.8
45,2022-10-01,1.8
46,2022-11-01,1.8
47,2022-12-01,1.8
