,categoria,precio_promedio,fecha
0,agua,1.57,2019-01-01
1,agua,1.57,2019-02-01
2,agua,1.57,2019-03-01
3,agua,1.57,2019-04-01
4,agua,1.57,2019-05-01
5,agua,1.57,2019-06-01
6,agua,1.57,2019-07-01
7,agua,1.57,2019-08-01
8,agua,1.57,2019-09-01
9,agua,1.57,2019-10-01
10,agua,1.57,2019-11-01
11,agua,1.57,2019-12-01
12,agua,1.65,2020-01-01
13,agua,1.65,2020-02-01
14,agua,1.65,2020-03-01
15,agua,1.65,2020-04-01
16,agua,1.65,2020-05-01
17,agua,1.65,2020-06-01
18,agua,1.65,2020-07-01
19,agua,1.65,2020-08-01
20,agua,1.65,2020-09-01
21,agua,1.65,2020-10-01
22,agua,1.65,2020-11-01
23,agua,1.65,2020-12-01
24,agua,1.65,2021-01-01
25,agua,1.65,2021-02-01
26,agua,1.65,2021-03-01
27,agua,1.65,2021-04-01
28,agua,1.65,2021-05-01
29,agua,1.65,2021-06-01
30,agua,1.65,2021-07-01
31,agua,1.65,2021-08-01
32,agua,1.65,2021-09-01
33,agua,1.65,2021-10-01
34,agua,1.65,2021-11-01
35,agua,1.65,2021-12-01
36,agua,1.80,2022-01-01
37,agua,1.80,2022-02-01
38,agua,1.80,2022-03-01
39,agua,1.80,2022-04-01
40,agua,1.80,2022-05-01
41,agua,1.80,2022-06-01
42,agua,1.80,2022-07-01
43,agua,1.80,2022-08-01
44,agua,1.80,2022-09-01
45,agua,1.80,2022-10-01
46,agua,1.80,2022-11-01
47,agua,1.80,2022-12-01
48,combustible,1.26,2019-01-01
49,combustible,1.31,2019-02-01
50,combustible,1.34,2019-03-01
51,combustible,1.38,2019-04-01
52,combustible,1.39,2019-05-01
53,combustible,1.35,2019-06-01
54,combustible,1.35,2019-07-01
55,combustible,1.34,2019-08-01
56,combustible,1.35,2019-09-01
57,combustible,1.34,2019-10-01
58,combustible,1.34,2019-11-01
59,combustible,1.36,2019-12-01
60,combustible,1.37,2020-01-01
61,combustible,1.34,2020-02-01
62,combustible,1.26,2020-03-01
63,combustible,1.15,2020-04-01
64,combustible,1.14,2020-05-01
65,combustible,1.18,2020-06-01
66,combustible,1.21,2020-07-01
67,combustible,1.21,2020-08-01
68,combustible,1.20,2020-09-01
69,combustible,1.19,2020-10-01
70,combustible,1.19,2020-11-01
71,combustible,1.23,2020-12-01
72,combustible,1.26,2021-01-01
73,combustible,1.31,2021-02-01
74,combustible,1.36,2021-03-01
75,combustible,1.36,2021-04-01
76,combustible,1.38,2021-05-01
77,combustible,1.41,2021-06-01
78,combustible,1.44,2021-07-01
79,combustible,1.44,2021-08-01
80,combustible,1.46,2021-09-01
81,combustible,1.52,2021-10-01
82,combustible,1.54,2021-11-01
83,combustible,1.51,2021-12-01
84,combustible,1.55,2022-01-01
85,combustible,1.62,2022-02-01
86,combustible,1.86,2022-03-01
87,combustible,1.90,2022-04-01
88,combustible,1.99,2022-05-01
89,combustible,2.16,2022-06-01
90,combustible,2.06,2022-07-01
91,combustible,1.90,2022-08-01
92,combustible,1.86,2022-09-01
93,combustible,1.91,2022-10-01
94,combustible,1.90,2022-11-01
