,categoria,fecha,precio_promedio
0,luz,2019-01-01,67.91
1,luz,2019-02-01,59.79
2,luz,2019-03-01,54.08
3,luz,2019-04-01,56.54
4,luz,2019-05-01,53.71
5,luz,2019-06-01,52.11
6,luz,2019-07-01,56.65
7,luz,2019-08-01,49.15
8,luz,2019-09-01,46.76
9,luz,2019-10-01,52.17
10,luz,2019-11-01,48.23
11,luz,2019-12-01,41.12
12,luz,2020-01-01,46.87
13,luz,2020-02-01,41.34
14,luz,2020-03-01,33.13
15,luz,2020-04-01,25.18
16,luz,2020-05-01,27.28
17,luz,2020-06-01,35.98
18,luz,2020-07-01,39.97
19,luz,2020-08-01,41.00
20,luz,2020-09-01,47.41
21,luz,2020-10-01,42.63
22,luz,2020-11-01,48.08
23,luz,2020-12-01,48.91
24,luz,2021-01-01,70.10
25,luz,2021-02-01,36.69
26,luz,2021-03-01,51.92
27,luz,2021-04-01,71.42
28,luz,2021-05-01,73.89
29,luz,2021-06-01,87.11
30,luz,2021-07-01,96.29
31,luz,2021-08-01,111.29
32,luz,2021-09-01,160.48
33,luz,2021-10-01,209.09
34,luz,2021-11-01,203.70
35,luz,2021-12-01,251.53
36,luz,2022-01-01,209.76
37,luz,2022-02-01,205.54
38,luz,2022-03-01,294.19
39,luz,2022-04-01,202.73
40,luz,2022-05-01,195.46
41,luz,2022-06-01,175.34
42,luz,2022-07-01,149.38
43,luz,2022-08-01,161.76
44,luz,2022-09-01,151.34
45,luz,2022-10-01,138.66
46,luz,2022-11-01,124.53
47,luz,2022-12-01,113.80
