,categoria,fecha,precio_promedio
0,gas,2019-01-01,24.10
1,gas,2019-02-01,22.73
2,gas,2019-03-01,19.29
3,gas,2019-04-01,15.12
4,gas,2019-05-01,15.95
5,gas,2019-06-01,13.28
6,gas,2019-07-01,13.24
7,gas,2019-08-01,11.64
8,gas,2019-09-01,12.54
9,gas,2019-10-01,14.59
10,gas,2019-11-01,13.41
11,gas,2019-12-01,15.16
12,gas,2020-01-01,11.80
13,gas,2020-02-01,10.40
14,gas,2020-03-01,9.14
15,gas,2020-04-01,6.87
16,gas,2020-05-01,6.15
17,gas,2020-06-01,5.19
18,gas,2020-07-01,7.74
19,gas,2020-08-01,7.23
20,gas,2020-09-01,12.65
21,gas,2020-10-01,12.02
22,gas,2020-11-01,14.21
23,gas,2020-12-01,16.44
24,gas,2021-01-01,21.57
25,gas,2021-02-01,20.45
26,gas,2021-03-01,15.70
27,gas,2021-04-01,18.67
28,gas,2021-05-01,23.10
29,gas,2021-06-01,25.84
30,gas,2021-07-01,35.06
31,gas,2021-08-01,40.78
32,gas,2021-09-01,49.83
33,gas,2021-10-01,90.00
34,gas,2021-11-01,71.14
35,gas,2021-12-01,100.73
36,gas,2022-01-01,67.07
37,gas,2022-02-01,85.91
38,gas,2022-03-01,102.87
39,gas,2022-04-01,113.77
40,gas,2022-05-01,77.03
41,gas,2022-06-01,80.48
42,gas,2022-07-01,125.16
43,gas,2022-08-01,128.98
44,gas,2022-09-01,181.35
45,gas,2022-10-01,80.64
46,gas,2022-11-01,71.08
47,gas,2022-12-01,122.37
