,combustible,precio_promedio,fecha
0,Diésel,1.188435,2019-01-01
1,Diésel,1.239939,2019-02-01
2,Diésel,1.266578,2019-03-01
3,Diésel,1.283211,2019-04-01
4,Diésel,1.296485,2019-05-01
5,Diésel,1.24509,2019-06-01
6,Diésel,1.245999,2019-07-01
7,Diésel,1.231245,2019-08-01
8,Diésel,1.246124,2019-09-01
9,Diésel,1.246355,2019-10-01
10,Diésel,1.249737,2019-11-01
11,Diésel,1.265926,2019-12-01
12,Diésel,1.282829,2020-01-01
13,Diésel,1.243801,2020-02-01
14,Diésel,1.154507,2020-03-01
15,Diésel,1.058733,2020-04-01
16,Diésel,1.033324,2020-05-01
17,Diésel,1.069126,2020-06-01
18,Diésel,1.101826,2020-07-01
19,Diésel,1.102708,2020-08-01
20,Diésel,1.081279,2020-09-01
21,Diésel,1.069652,2020-10-01
22,Diésel,1.071672,2020-11-01
23,Diésel,1.109354,2020-12-01
24,Diésel,1.142884,2021-01-01
25,Diésel,1.188011,2021-02-01
26,Diésel,1.232597,2021-03-01
27,Diésel,1.228841,2021-04-01
28,Diésel,1.251197,2021-05-01
29,Diésel,1.28147,2021-06-01
30,Diésel,1.306815,2021-07-01
31,Diésel,1.308542,2021-08-01
32,Diésel,1.324535,2021-09-01
33,Diésel,1.396523,2021-10-01
34,Diésel,1.420908,2021-11-01
35,Diésel,1.383023,2021-12-01
36,Diésel,1.425071,2022-01-01
37,Diésel,1.504972,2022-02-01
38,Diésel,1.798919,2022-03-01
39,Diésel,1.855163,2022-04-01
40,Diésel,1.906347,2022-05-01
41,Diésel,2.063618,2022-06-01
42,Diésel,1.990361,2022-07-01
43,Diésel,1.867845,2022-08-01
44,Diésel,1.882806,2022-09-01
45,Diésel,1.943923,2022-10-01
46,Diésel,1.908723,2022-11-01
47,Diésel,1.70139,2022-12-01
48,Diésel Premium,1.259785,2019-01-01
49,Diésel Premium,1.313618,2019-02-01
50,Diésel Premium,1.341384,2019-03-01
51,Diésel Premium,1.356713,2019-04-01
52,Diésel Premium,1.371323,2019-05-01
53,Diésel Premium,1.320323,2019-06-01
54,Diésel Premium,1.3208,2019-07-01
55,Diésel Premium,1.305021,2019-08-01
56,Diésel Premium,1.323726,2019-09-01
57,Diésel Premium,1.323839,2019-10-01
58,Diésel Premium,1.3277,2019-11-01
59,Diésel Premium,1.343926,2019-12-01
60,Diésel Premium,1.359538,2020-01-01
61,Diésel Premium,1.322284,2020-02-01
62,Diésel Premium,1.230824,2020-03-01
63,Diésel Premium,1.133666,2020-04-01
64,Diésel Premium,1.114717,2020-05-01
65,Diésel Premium,1.153461,2020-06-01
66,Diésel Premium,1.186276,2020-07-01
67,Diésel Premium,1.185418,2020-08-01
68,Diésel Premium,1.162845,2020-09-01
69,Diésel Premium,1.152395,2020-10-01
70,Diésel Premium,1.155774,2020-11-01
71,Diésel Premium,1.19445,2020-12-01
72,Diésel Premium,1.227722,2021-01-01
73,Diésel Premium,1.274471,2021-02-01
74,Diésel Premium,1.319244,2021-03-01
75,Diésel Premium,1.314009,2021-04-01
76,Diésel Premium,1.338842,2021-05-01
77,Diésel Premium,1.370137,2021-06-01
78,Diésel Premium,1.395493,2021-07-01
79,Diésel Premium,1.394391,2021-08-01
80,Diésel Premium,1.410935,2021-09-01
81,Diésel Premium,1.485296,2021-10-01
82,Diésel Premium,1.506942,2021-11-01
83,Diésel Premium,1.468153,2021-12-01
84,Diésel Premium,1.514332,2022-01-01
85,Diésel Premium,1.595402,2022-02-01
86,Diésel Premium,1.881596,2022-03-01
87,Diésel Premium,1.940594,2022-04-01
88,Diésel Premium,1.994633,2022-05-01
89,Diésel Premium,2.152454,2022-06-01
90,Diésel Premium,2.074619,2022-07-01
91,Diésel Premium,1.956973,2022-08-01
92,Diésel Premium,1.974506,2022-09-01
93,Diésel Premium,2.038503,2022-10-01
94,Diésel Premium,2.001456,2022-11-01
95,Diésel Premium,1.794648,2022-12-01
96,Gasolina 95,1.228664,2019-01-01
97,Gasolina 95,1.271043,2019-02-01
98,Gasolina 95,1.305643,2019-03-01
99,Gasolina 95,1.369528,2019-04-01
100,Gasolina 95,1.387684,2019-05-01
101,Gasolina 95,1.340391,2019-06-01
102,Gasolina 95,1.348643,2019-07-01
103,Gasolina 95,1.336114,2019-08-01
104,Gasolina 95,1.334711,2019-09-01
105,Gasolina 95,1.332736,2019-10-01
